ss_sold_date_sk,ss_sold_time_sk,ss_item_sk,ss_customer_sk,ss_cdemo_sk,ss_hdemo_sk,ss_addr_sk,ss_store_sk,ss_promo_sk,ss_ticket_number,ss_quantity,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_discount_amt,ss_ext_sales_price,ss_ext_wholesale_cost,ss_ext_list_price,ss_ext_tax,ss_coupon_amt,ss_net_paid,ss_net_paid_inc_tax,ss_net_profit
2451673,48243,39197,17830,666074,2765,81409,4,119,240003,90,35.87,43.04,29.69,0.0,2672.1,3228.3,3873.6,187.04,0.0,2672.1,2859.14,-556.2
2451673,48243,48065,17830,666074,2765,81409,4,295,240003,57,33.72,43.16,30.64,0.0,1746.48,1922.04,2460.12,87.32,0.0,1746.48,1833.8,-175.56
2451673,48243,25496,17830,666074,2765,81409,4,247,240003,87,51.45,99.81,27.94,656.31,2430.78,4476.15,8683.47,124.21,656.31,1774.47,1898.68,-2701.68
2451673,48243,26647,17830,666074,2765,81409,4,92,240003,70,6.52,10.69,1.17,56.51,81.9,456.4,748.3,0.76,56.51,25.39,26.15,-431.01
2451673,48243,2011,17830,666074,2765,81409,4,348,240003,53,19.76,33.59,8.39,0.0,444.67,1047.28,1780.27,0.0,0.0,444.67,444.67,-602.61
2452633,49122,7761,216734,417193,6852,98111,13,130,240004,85,75.45,149.39,25.39,0.0,2158.15,6413.25,12698.15,172.65,0.0,2158.15,2330.8,-4255.1
2452633,49122,11883,216734,417193,6852,98111,13,98,240004,54,44.22,69.86,64.27,0.0,3470.58,2387.88,3772.44,312.35,0.0,3470.58,3782.93,1082.7
2452633,49122,51750,216734,417193,6852,98111,13,177,240004,86,4.92,6.19,3.28,0.0,282.08,423.12,532.34,25.38,0.0,282.08,307.46,-141.04
2452633,49122,26091,216734,417193,6852,98111,13,184,240004,50,20.29,25.76,8.5,0.0,425.0,1014.5,1288.0,21.25,0.0,425.0,446.25,-589.5
2452633,,46926,,,6852,98111,13,,240004,,92.12,153.84,,0.0,,,,314.96,0.0,,,275.45
2452633,49122,31321,216734,417193,6852,98111,13,230,240004,46,42.28,79.48,7.15,174.31,328.9,1944.88,3656.08,3.09,174.31,154.59,157.68,-1790.29
2452633,49122,6733,216734,417193,6852,98111,13,279,240004,50,81.27,145.47,106.19,0.0,5309.5,4063.5,7273.5,0.0,0.0,5309.5,5309.5,1246.0
2452633,49122,53755,216734,417193,6852,98111,13,28,240004,71,65.33,75.12,53.33,1703.89,3786.43,4638.43,5333.52,124.95,1703.89,2082.54,2207.49,-2555.89
2452633,49122,20850,216734,417193,6852,98111,13,241,240004,65,58.78,98.16,18.65,0.0,1212.25,3820.7,6380.4,72.73,0.0,1212.25,1284.98,-2608.45
2452642,67054,26077,153842,485138,2634,48930,10,108,240005,66,59.86,76.62,52.1,0.0,3438.6,3950.76,5056.92,103.15,0.0,3438.6,3541.75,-512.16
2452642,67054,11545,153842,485138,2634,48930,10,285,240005,38,43.93,58.86,10.59,0.0,402.42,1669.34,2236.68,20.12,0.0,402.42,422.54,-1266.92
2452642,67054,4519,153842,485138,2634,48930,10,46,240005,17,23.71,37.93,17.82,0.0,302.94,403.07,644.81,0.0,0.0,302.94,302.94,-100.13
2452642,67054,52927,153842,485138,2634,48930,10,48,240005,89,43.66,68.54,4.11,0.0,365.79,3885.74,6100.06,0.0,0.0,365.79,365.79,-3519.95
2452642,67054,53977,153842,485138,2634,48930,10,118,240005,43,70.48,112.06,97.49,0.0,4192.07,3030.64,4818.58,125.76,0.0,4192.07,4317.83,1161.43
2452642,,919,,,,48930,,216,240005,,,,,0.0,,796.11,1130.16,,0.0,,,
2452642,67054,36822,153842,485138,2634,48930,10,93,240005,23,78.65,93.59,64.57,0.0,1485.11,1808.95,2152.57,29.7,0.0,1485.11,1514.81,-323.84
2452642,67054,29343,153842,485138,2634,48930,10,379,240005,71,67.51,81.01,81.01,4601.36,5751.71,4793.21,5751.71,11.5,4601.36,1150.35,1161.85,-3642.86
2452642,,7297,,,2634,48930,10,,240005,,8.04,,10.25,0.0,,,419.4,,0.0,369.0,387.45,
2452642,67054,36186,153842,485138,2634,48930,10,274,240005,34,11.14,20.38,15.48,0.0,526.32,378.76,692.92,21.05,0.0,526.32,547.37,147.56
2452642,67054,29868,153842,485138,2634,48930,10,253,240005,30,73.89,78.32,2.34,65.98,70.2,2216.7,2349.6,0.04,65.98,4.22,4.26,-2212.48
2452642,67054,20799,153842,485138,2634,48930,10,105,240005,53,67.8,80.0,7.2,0.0,381.6,3593.4,4240.0,34.34,0.0,381.6,415.94,-3211.8
2451639,34142,2351,44403,1702453,6350,81000,43,248,240006,60,15.73,19.97,1.59,0.0,95.4,943.8,1198.2,2.86,0.0,95.4,98.26,-848.4
2451639,34142,13261,44403,1702453,6350,81000,43,23,240006,9,49.8,88.14,22.03,63.44,198.27,448.2,793.26,9.43,63.44,134.83,144.26,-313.37
2451639,34142,8498,44403,1702453,6350,81000,43,154,240006,25,7.55,11.4,6.84,0.0,171.0,188.75,285.0,6.84,0.0,171.0,177.84,-17.75
2451639,34142,24067,44403,1702453,6350,81000,43,138,240006,50,29.9,43.05,30.99,0.0,1549.5,1495.0,2152.5,61.98,0.0,1549.5,1611.48,54.5
2451639,34142,29180,44403,1702453,6350,81000,43,206,240006,73,52.51,97.14,69.94,0.0,5105.62,3833.23,7091.22,0.0,0.0,5105.62,5105.62,1272.39
2451639,34142,29363,44403,1702453,6350,81000,43,213,240006,92,20.87,37.56,10.51,686.51,966.92,1920.04,3455.52,0.0,686.51,280.41,280.41,-1639.63
2451639,34142,385,44403,1702453,6350,81000,43,48,240006,48,71.73,134.85,66.07,0.0,3171.36,3443.04,6472.8,63.42,0.0,3171.36,3234.78,-271.68
2451639,34142,22531,44403,1702453,6350,81000,43,353,240006,25,41.14,74.87,34.44,0.0,861.0,1028.5,1871.75,34.44,0.0,861.0,895.44,-167.5
2451639,34142,50246,44403,1702453,6350,81000,43,17,240006,57,56.87,84.73,54.22,0.0,3090.54,3241.59,4829.61,123.62,0.0,3090.54,3214.16,-151.05
2451639,34142,33187,44403,1702453,6350,81000,43,170,240006,62,52.48,59.82,23.32,0.0,1445.84,3253.76,3708.84,43.37,0.0,1445.84,1489.21,-1807.92
2451639,34142,1609,44403,1702453,6350,81000,43,291,240006,68,79.96,100.74,24.17,0.0,1643.56,5437.28,6850.32,16.43,0.0,1643.56,1659.99,-3793.72
2451506,65471,30895,131508,1467056,2957,116905,8,336,240007,1,23.87,37.47,22.85,0.0,22.85,23.87,37.47,0.45,0.0,22.85,23.3,-1.02
2451506,,14941,,1467056,2957,,8,,240007,,34.9,49.2,7.87,,,628.2,885.6,8.49,,141.66,,-486.54
2451506,65471,40339,131508,1467056,2957,116905,8,387,240007,49,77.26,78.03,45.25,0.0,2217.25,3785.74,3823.47,88.69,0.0,2217.25,2305.94,-1568.49
2451506,65471,36091,131508,1467056,2957,116905,8,199,240007,13,64.66,98.28,50.12,0.0,651.56,840.58,1277.64,32.57,0.0,651.56,684.13,-189.02
2451506,65471,19861,131508,1467056,2957,116905,8,273,240007,16,75.84,140.3,136.09,0.0,2177.44,1213.44,2244.8,174.19,0.0,2177.44,2351.63,964.0
2451506,65471,16820,131508,1467056,2957,116905,8,264,240007,31,29.82,37.57,31.93,0.0,989.83,924.42,1164.67,19.79,0.0,989.83,1009.62,65.41
2451506,65471,11636,131508,1467056,2957,116905,8,336,240007,58,13.3,16.22,0.64,0.0,37.12,771.4,940.76,1.48,0.0,37.12,38.6,-734.28
2451506,65471,7708,131508,1467056,2957,116905,8,293,240007,70,37.4,49.74,48.74,0.0,3411.8,2618.0,3481.8,238.82,0.0,3411.8,3650.62,793.8
2451506,65471,52814,131508,1467056,2957,116905,8,316,240007,67,57.91,67.75,42.0,0.0,2814.0,3879.97,4539.25,28.14,0.0,2814.0,2842.14,-1065.97
2451506,65471,51284,131508,1467056,2957,116905,8,289,240007,100,73.22,122.27,0.0,0.0,0.0,7322.0,12227.0,0.0,0.0,0.0,0.0,-7322.0
2451506,65471,14056,131508,1467056,2957,116905,8,380,240007,23,93.18,167.72,82.18,1134.08,1890.14,2143.14,3857.56,37.8,1134.08,756.06,793.86,-1387.08
2451506,65471,46783,131508,1467056,2957,116905,8,234,240007,71,37.71,55.43,13.85,0.0,983.35,2677.41,3935.53,68.83,0.0,983.35,1052.18,-1694.06
2452266,73293,7857,135653,482675,5144,74366,2,298,240008,95,41.84,57.73,21.93,0.0,2083.35,3974.8,5484.35,166.66,0.0,2083.35,2250.01,-1891.45
2452266,73293,15009,135653,482675,5144,74366,2,208,240008,73,49.4,62.24,13.07,0.0,954.11,3606.2,4543.52,28.62,0.0,954.11,982.73,-2652.09
2452266,73293,20659,135653,482675,5144,74366,2,90,240008,6,19.33,24.54,18.4,0.0,110.4,115.98,147.24,7.72,0.0,110.4,118.12,-5.58
2452266,73293,52501,135653,482675,5144,74366,2,156,240008,75,5.84,7.0,0.49,12.49,36.75,438.0,525.0,0.24,12.49,24.26,24.5,-413.74
2452266,73293,12829,135653,482675,5144,74366,2,279,240008,55,2.12,2.45,0.93,0.0,51.15,116.6,134.75,0.0,0.0,51.15,51.15,-65.45
2452266,73293,36979,135653,482675,5144,74366,2,17,240008,37,97.36,159.67,44.7,0.0,1653.9,3602.32,5907.79,49.61,0.0,1653.9,1703.51,-1948.42
2452266,73293,8781,135653,482675,5144,74366,2,215,240008,6,21.1,27.43,10.69,0.0,64.14,126.6,164.58,5.13,0.0,64.14,69.27,-62.46
2452266,73293,5831,135653,482675,5144,74366,2,132,240008,17,35.59,45.19,9.48,0.0,161.16,605.03,768.23,14.5,0.0,161.16,175.66,-443.87
,73293,23053,,,,,2,,240008,,,58.46,,0.0,2610.3,2356.97,4501.42,,0.0,2610.3,,
2452266,73293,9031,135653,482675,5144,74366,2,230,240008,33,47.47,65.03,45.52,0.0,1502.16,1566.51,2145.99,90.12,0.0,1502.16,1592.28,-64.35
2452266,73293,40791,135653,482675,5144,74366,2,188,240008,64,31.24,35.61,28.13,1098.19,1800.32,1999.36,2279.04,42.12,1098.19,702.13,744.25,-1297.23
2452266,73293,31015,135653,482675,5144,74366,2,240,240008,28,63.34,75.37,41.45,0.0,1160.6,1773.52,2110.36,58.03,0.0,1160.6,1218.63,-612.92
2452266,73293,14137,135653,482675,5144,74366,2,101,240008,16,18.27,20.46,2.65,0.0,42.4,292.32,327.36,0.42,0.0,42.4,42.82,-249.92
2452266,73293,15227,135653,482675,5144,74366,2,279,240008,91,2.74,5.45,2.01,0.0,182.91,249.34,495.95,14.63,0.0,182.91,197.54,-66.43
2452266,73293,27643,135653,482675,5144,74366,2,267,240008,15,53.41,77.97,60.03,0.0,900.45,801.15,1169.55,27.01,0.0,900.45,927.46,99.3
2452266,73293,41733,135653,482675,5144,74366,2,190,240008,36,97.56,142.43,88.3,0.0,3178.8,3512.16,5127.48,31.78,0.0,3178.8,3210.58,-333.36
2451980,68506,40823,71053,1203706,2559,51365,50,48,240009,29,78.16,90.66,9.06,0.0,262.74,2266.64,2629.14,10.5,0.0,262.74,273.24,-2003.9
2451980,68506,32997,71053,1203706,2559,51365,50,82,240009,16,17.5,18.02,14.05,0.0,224.8,280.0,288.32,20.23,0.0,224.8,245.03,-55.2
2451980,68506,18623,71053,1203706,2559,51365,50,68,240009,27,1.77,2.26,0.33,0.0,8.91,47.79,61.02,0.35,0.0,8.91,9.26,-38.88
2451980,68506,21395,71053,1203706,2559,51365,50,230,240009,10,28.86,31.74,16.5,0.0,165.0,288.6,317.4,9.9,0.0,165.0,174.9,-123.6
2451980,68506,48595,71053,1203706,2559,51365,50,28,240009,99,27.34,37.18,11.89,0.0,1177.11,2706.66,3680.82,70.62,0.0,1177.11,1247.73,-1529.55
2451980,68506,29179,71053,1203706,2559,51365,50,267,240009,22,65.66,101.11,3.03,0.0,66.66,1444.52,2224.42,5.99,0.0,66.66,72.65,-1377.86
2451980,68506,43295,71053,1203706,2559,51365,50,225,240009,63,12.65,21.75,4.35,0.0,274.05,796.95,1370.25,21.92,0.0,274.05,295.97,-522.9
2451980,68506,5027,71053,1203706,2559,51365,50,336,240009,13,40.99,71.32,64.18,0.0,834.34,532.87,927.16,58.4,0.0,834.34,892.74,301.47
2451980,68506,35265,71053,1203706,2559,51365,50,374,240009,34,52.18,56.87,17.62,0.0,599.08,1774.12,1933.58,11.98,0.0,599.08,611.06,-1175.04
,,51249,,1203706,2559,51365,50,,240009,6,20.42,,4.48,,,,224.16,,,,,
2451980,68506,32699,71053,1203706,2559,51365,50,378,240009,58,31.34,46.69,24.27,0.0,1407.66,1817.72,2708.02,70.38,0.0,1407.66,1478.04,-410.06
2452025,36627,25733,91254,1768529,1004,127079,10,318,240010,67,12.45,22.16,3.1,0.0,207.7,834.15,1484.72,8.3,0.0,207.7,216.0,-626.45
2452025,36627,34127,91254,1768529,1004,127079,10,56,240010,14,9.34,17.09,6.32,0.0,88.48,130.76,239.26,7.96,0.0,88.48,96.44,-42.28
2452025,36627,45309,91254,1768529,1004,127079,10,296,240010,41,46.62,92.77,84.42,0.0,3461.22,1911.42,3803.57,173.06,0.0,3461.22,3634.28,1549.8
2452025,36627,15415,91254,1768529,1004,127079,10,103,240010,69,88.04,169.03,42.25,0.0,2915.25,6074.76,11663.07,29.15,0.0,2915.25,2944.4,-3159.51
2452025,36627,16513,91254,1768529,1004,127079,10,129,240010,68,58.69,76.29,48.06,0.0,3268.08,3990.92,5187.72,261.44,0.0,3268.08,3529.52,-722.84
2452025,36627,4779,91254,1768529,1004,127079,10,370,240010,76,50.89,94.14,16.0,0.0,1216.0,3867.64,7154.64,12.16,0.0,1216.0,1228.16,-2651.64
2452025,36627,37155,91254,1768529,1004,127079,10,318,240010,91,54.43,79.46,25.42,0.0,2313.22,4953.13,7230.86,92.52,0.0,2313.22,2405.74,-2639.91
2452025,36627,3545,91254,1768529,1004,127079,10,219,240010,15,39.49,49.75,25.87,0.0,388.05,592.35,746.25,23.28,0.0,388.05,411.33,-204.3
2452025,36627,6479,91254,1768529,1004,127079,10,384,240010,6,56.59,110.35,2.2,0.0,13.2,339.54,662.1,0.79,0.0,13.2,13.99,-326.34
2452025,36627,9939,91254,1768529,1004,127079,10,110,240010,93,62.16,115.61,33.52,0.0,3117.36,5780.88,10751.73,93.52,0.0,3117.36,3210.88,-2663.52
2452025,36627,49011,91254,1768529,1004,127079,10,353,240010,52,15.02,17.12,2.22,0.0,115.44,781.04,890.24,5.77,0.0,115.44,121.21,-665.6
2452025,36627,16021,91254,1768529,1004,127079,10,337,240010,93,1.06,1.54,0.23,0.0,21.39,98.58,143.22,1.28,0.0,21.39,22.67,-77.19
2452025,36627,27295,91254,1768529,1004,127079,10,202,240010,88,18.02,19.1,0.0,0.0,0.0,1585.76,1680.8,0.0,0.0,0.0,0.0,-1585.76
2452490,39366,52746,173200,1307537,1027,9364,4,376,240011,20,92.45,139.59,37.68,0.0,753.6,1849.0,2791.8,15.07,0.0,753.6,768.67,-1095.4
2452490,39366,10293,173200,1307537,1027,9364,4,122,240011,13,6.9,13.24,5.16,0.0,67.08,89.7,172.12,1.34,0.0,67.08,68.42,-22.62
2452490,39366,16669,173200,1307537,1027,9364,4,128,240011,9,54.47,56.64,9.06,0.0,81.54,490.23,509.76,0.0,0.0,81.54,81.54,-408.69
2452490,39366,11323,173200,1307537,1027,9364,4,235,240011,57,75.85,78.12,38.27,0.0,2181.39,4323.45,4452.84,65.44,0.0,2181.39,2246.83,-2142.06
2452490,39366,45265,173200,1307537,1027,9364,4,387,240011,4,94.3,181.99,72.79,0.0,291.16,377.2,727.96,2.91,0.0,291.16,294.07,-86.04
2452490,39366,41265,173200,1307537,1027,9364,4,176,240011,27,6.43,9.13,1.0,0.0,27.0,173.61,246.51,1.35,0.0,27.0,28.35,-146.61
2452490,,16023,173200,,,9364,,151,240011,86,2.62,,1.86,0.0,,225.32,,11.19,0.0,,171.15,-65.36
2452490,39366,38568,173200,1307537,1027,9364,4,369,240011,2,33.53,45.93,33.06,0.0,66.12,67.06,91.86,0.66,0.0,66.12,66.78,-0.94
2452490,39366,33999,173200,1307537,1027,9364,4,47,240011,56,53.35,88.02,18.48,0.0,1034.88,2987.6,4929.12,20.69,0.0,1034.88,1055.57,-1952.72
2452490,39366,26364,173200,1307537,1027,9364,4,222,240011,63,93.84,138.88,104.16,5249.66,6562.08,5911.92,8749.44,118.11,5249.66,1312.42,1430.53,-4599.5
2452490,39366,23898,173200,1307537,1027,9364,4,321,240011,86,97.38,194.76,50.63,0.0,4354.18,8374.68,16749.36,87.08,0.0,4354.18,4441.26,-4020.5
2452490,39366,20736,173200,1307537,1027,9364,4,171,240011,84,46.86,55.29,35.38,0.0,2971.92,3936.24,4644.36,89.15,0.0,2971.92,3061.07,-964.32
,56257,46761,80739,1044914,,50017,,68,240012,30,,45.07,31.54,,,850.5,1352.1,,,,139.09,
2452162,56257,18009,80739,1044914,1242,50017,25,156,240012,60,13.0,24.18,18.37,0.0,1102.2,780.0,1450.8,99.19,0.0,1102.2,1201.39,322.2
2452162,56257,2323,80739,1044914,1242,50017,25,73,240012,97,13.74,25.28,3.03,0.0,293.91,1332.78,2452.16,26.45,0.0,293.91,320.36,-1038.87
2452162,56257,4163,80739,1044914,1242,50017,25,110,240012,77,85.75,138.91,58.34,0.0,4492.18,6602.75,10696.07,224.6,0.0,4492.18,4716.78,-2110.57
2452162,56257,23487,80739,1044914,1242,50017,25,116,240012,64,40.92,56.06,27.46,0.0,1757.44,2618.88,3587.84,87.87,0.0,1757.44,1845.31,-861.44
2452162,56257,47589,80739,1044914,1242,50017,25,212,240012,49,82.16,141.31,124.35,0.0,6093.15,4025.84,6924.19,304.65,0.0,6093.15,6397.8,2067.31
2452162,56257,11529,80739,1044914,1242,50017,25,106,240012,33,86.32,97.54,78.03,0.0,2574.99,2848.56,3218.82,205.99,0.0,2574.99,2780.98,-273.57
2452162,56257,345,80739,1044914,1242,50017,25,13,240012,33,74.99,112.48,109.1,0.0,3600.3,2474.67,3711.84,252.02,0.0,3600.3,3852.32,1125.63
2452162,56257,19983,80739,1044914,1242,50017,25,37,240012,48,73.36,110.04,47.31,0.0,2270.88,3521.28,5281.92,68.12,0.0,2270.88,2339.0,-1250.4
2452162,56257,3169,80739,1044914,1242,50017,25,107,240012,81,83.68,125.52,21.33,0.0,1727.73,6778.08,10167.12,17.27,0.0,1727.73,1745.0,-5050.35
2452162,56257,35835,80739,1044914,1242,50017,25,121,240012,78,93.27,138.97,31.96,0.0,2492.88,7275.06,10839.66,174.5,0.0,2492.88,2667.38,-4782.18
2452162,56257,6335,80739,1044914,1242,50017,25,166,240012,56,21.72,37.79,10.2,0.0,571.2,1216.32,2116.24,28.56,0.0,571.2,599.76,-645.12
2452162,56257,29671,80739,1044914,1242,50017,25,110,240012,24,52.83,87.69,54.36,0.0,1304.64,1267.92,2104.56,78.27,0.0,1304.64,1382.91,36.72
2452162,56257,19941,80739,1044914,1242,50017,25,220,240012,37,88.42,116.71,106.2,0.0,3929.4,3271.54,4318.27,117.88,0.0,3929.4,4047.28,657.86
2452162,56257,15223,80739,1044914,1242,50017,25,163,240012,14,64.73,115.86,10.42,0.0,145.88,906.22,1622.04,11.67,0.0,145.88,157.55,-760.34
2452451,62875,3309,56439,1756576,3266,126403,52,294,240013,48,37.67,39.55,35.99,0.0,1727.52,1808.16,1898.4,34.55,0.0,1727.52,1762.07,-80.64
2452451,62875,27763,56439,1756576,3266,126403,52,68,240013,93,55.86,106.13,62.61,0.0,5822.73,5194.98,9870.09,58.22,0.0,5822.73,5880.95,627.75
2452451,62875,2214,56439,1756576,3266,126403,52,259,240013,65,10.66,13.32,11.72,0.0,761.8,692.9,865.8,38.09,0.0,761.8,799.89,68.9
2452451,62875,48835,56439,1756576,3266,126403,52,218,240013,55,75.52,83.82,59.51,0.0,3273.05,4153.6,4610.1,32.73,0.0,3273.05,3305.78,-880.55
2452451,62875,12162,56439,1756576,3266,126403,52,124,240013,18,12.0,21.72,5.64,73.09,101.52,216.0,390.96,0.56,73.09,28.43,28.99,-187.57
2452451,62875,52147,56439,1756576,3266,126403,52,231,240013,42,38.82,59.78,21.52,0.0,903.84,1630.44,2510.76,45.19,0.0,903.84,949.03,-726.6
2452451,62875,5269,56439,1756576,3266,126403,52,386,240013,61,17.32,32.56,8.79,0.0,536.19,1056.52,1986.16,21.44,0.0,536.19,557.63,-520.33
2452451,62875,30906,56439,1756576,3266,126403,52,133,240013,34,77.9,149.56,100.2,0.0,3406.8,2648.6,5085.04,102.2,0.0,3406.8,3509.0,758.2
2452451,62875,28243,56439,1756576,3266,126403,52,182,240013,24,68.02,94.54,73.74,0.0,1769.76,1632.48,2268.96,159.27,0.0,1769.76,1929.03,137.28
2452451,62875,39534,56439,1756576,3266,126403,52,76,240013,96,25.88,42.18,19.4,0.0,1862.4,2484.48,4049.28,148.99,0.0,1862.4,2011.39,-622.08
2452451,62875,8010,56439,1756576,3266,126403,52,189,240013,80,72.37,135.33,46.01,0.0,3680.8,5789.6,10826.4,110.42,0.0,3680.8,3791.22,-2108.8
,62875,50575,56439,1756576,,126403,,,240013,81,,113.1,,,3114.45,7328.88,9161.1,218.01,,,,
,,27336,56439,1756576,3266,126403,,51,240013,83,25.08,,42.63,2547.56,,2081.64,4163.28,9.9,2547.56,,1000.63,-1090.91
2452451,62875,46849,56439,1756576,3266,126403,52,370,240013,75,29.18,41.14,25.09,451.62,1881.75,2188.5,3085.5,57.2,451.62,1430.13,1487.33,-758.37
2452451,62875,36453,56439,1756576,3266,126403,52,275,240013,47,40.35,58.5,53.23,0.0,2501.81,1896.45,2749.5,200.14,0.0,2501.81,2701.95,605.36
2452451,62875,15253,56439,1756576,3266,126403,52,105,240013,68,97.48,149.14,68.6,0.0,4664.8,6628.64,10141.52,46.64,0.0,4664.8,4711.44,-1963.84
2452596,65671,15523,106154,1465147,5187,85580,19,295,240014,65,74.44,115.38,56.53,0.0,3674.45,4838.6,7499.7,293.95,0.0,3674.45,3968.4,-1164.15
2452596,65671,16116,106154,1465147,5187,85580,19,324,240014,69,59.9,74.27,18.56,0.0,1280.64,4133.1,5124.63,0.0,0.0,1280.64,1280.64,-2852.46
2452596,65671,39684,106154,1465147,5187,85580,19,305,240014,17,45.08,79.79,76.59,1028.6,1302.03,766.36,1356.43,16.4,1028.6,273.43,289.83,-492.93
