Employee Number	Department	Job Title
MNC-0106	Logistics	Driver
MNC-0107	Finance	Accounts Receivable
MNC-0108	Finance	Accounts Receivable
MNC-0109	Quality	Quality Assurance Operative
MNC-0110	Marketing	Marketing Assistant
MNC-0111	Directorate	PA to Director of Marketing
MNC-0112	Customer Services	Telesales Operative
MNC-0113	Customer Services	Telesales Operative
MNC-0114	Customer Services	Telesales Operative
MNC-0115	Customer Services	Telesales Operative
MNC-0116	Quality	Quality Assurance Operative
MNC-0117	Logistics	Driver
MNC-0118	Sales	Sales West
MNC-0119	Finance	Accounts Payable
MNC-0120	Directorate	PA to Director of Procurement
MNC-0121	Procurement	Purchasing Administrator
MNC-0122	Customer Services	Telesales Operative
MNC-0123	Customer Services	Telesales Operative
MNC-0124	Customer Services	Telesales Operative
MNC-0125	Customer Services	Telesales Operative
MNC-0126	Customer Services	Telesales Operative
MNC-0127	Finance	Accounts Receivable
MNC-0128	Sales	Sales West
MNC-0129	Customer Services	Telesales Operative
MNC-0130	Marketing	Social Media Marketeer
MNC-0131	Customer Services	Telesales Operative
MNC-0132	Customer Services	Telesales Operative
MNC-0133	Customer Services	Telesales Operative
MNC-0134	Quality	Quality Assurance Operative
MNC-0135	Logistics	Driver
MNC-0136	Sales	Sales West
MNC-0137	Marketing	Direct Marketeer
MNC-0138	Finance	Accounts Payable
MNC-0139	Logistics	Driver
MNC-0140	Customer Services	Telesales Operative
MNC-0141	Customer Services	Telesales Operative
MNC-0142	Customer Services	Telesales Operative
MNC-0143	Sales	Sales South
MNC-0144	Logistics	Driver
MNC-0145	Finance	Accounts Receivable
MNC-0146	Customer Services	Telesales Operative
MNC-0147	Directorate	PA to Director of Quality
MNC-0148	Customer Services	Telesales Operative
MNC-0149	Customer Services	Telesales Operative
MNC-0150	Customer Services	Telesales Operative
MNC-0151	Logistics	Driver
MNC-0152	Quality	Quality Assurance Operative
MNC-0153	Customer Services	Telesales Operative
MNC-0154	Marketing	Direct Marketeer
MNC-0155	Directorate	PA to Director of Sales
MNC-0156	Customer Services	Telesales Operative
MNC-0157	Customer Services	Telesales Operative
MNC-0158	Logistics	Driver
MNC-0159	Customer Services	Telesales Operative
MNC-0160	Customer Services	Telesales Operative
MNC-0161	Finance	Accounts Payable
MNC-0162	Sales	Sales South
MNC-0163	Customer Services	Telesales Operative
MNC-0164	Customer Services	Telesales Operative
MNC-0165	Customer Services	Telesales Operative
MNC-0166	Customer Services	Telesales Operative
MNC-0167	Logistics	Driver
MNC-0168	Sales	Sales West
MNC-0169	Marketing	Direct Marketeer
MNC-0170	Customer Services	Telesales Operative
MNC-0171	Logistics	Driver
MNC-0172	Customer Services	Telesales Operative
MNC-0173	Customer Services	Telesales Operative
MNC-0174	Customer Services	Telesales Operative
MNC-0175	Customer Services	Telesales Operative
MNC-0176	Customer Services	Telesales Operative
MNC-0177	Customer Services	Telesales Operative
MNC-0178	Finance	Accounts Receivable
MNC-0179	Logistics	Driver
MNC-0180	Sales	Sales North
MNC-0181	Logistics	Driver
MNC-0182	Customer Services	Telesales Operative
MNC-0183	Customer Services	Telesales Operative
MNC-0184	Customer Services	Telesales Operative
MNC-0185	Sales	Sales North
MNC-0186	Finance	Accounts Receivable
MNC-0187	Logistics	Driver
MNC-0188	Customer Services	Telesales Operative
MNC-0189	Logistics	Driver
MNC-0190	Customer Services	Telesales Operative
MNC-0191	Customer Services	Telesales Operative
MNC-0192	Sales	Sales North
MNC-0193	Sales	Sales North
MNC-0194	Customer Services	Telesales Operative
MNC-0195	Customer Services	Telesales Operative
MNC-0196	Customer Services	Telesales Operative
MNC-0197	Customer Services	Telesales Operative
MNC-0198	Customer Services	Telesales Operative
MNC-0199	Logistics	Driver
MNC-0200	Customer Services	Telesales Operative
